,Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap,Intraday High/Low,52 Week Range,Day Chart
0,AAPL,Apple Inc.,163.64,4:00PM EDT,7.07,4.52%,111.518M,2.671T,,,
1,AMZN,"Amazon.com, Inc.","2,891.93",4:00PM EDT,128.59,4.65%,3.983M,1.471T,,,
2,INTC,Intel Corporation,46.84,4:00PM EDT,1.62,3.58%,38.711M,191.515B,,,
3,HOOD,"Robinhood Markets, Inc.",10.09,4:00PM EDT,0.58,6.10%,25.533M,8.432B,,,
4,ROKU,"Roku, Inc.",91.63,4:00PM EDT,6.87,8.11%,12.28M,12.459B,,,
5,DWAC,Digital World Acquisition Corp.,48.06,4:00PM EDT,3.51,7.88%,3.926M,1.638B,,,
6,GILD,"Gilead Sciences, Inc.",61.56,4:00PM EDT,-0.03,-0.05%,10.778M,77.306B,,,
7,X,United States Steel Corporation,32.23,4:00PM EDT,0.41,1.29%,12.109M,8.397B,,,
8,WDC,Western Digital Corporation,52.61,4:00PM EDT,2.56,5.11%,5.789M,16.463B,,,
9,RIVN,"Rivian Automotive, Inc.",32.18,4:00PM EDT,0.96,3.07%,17.095M,28.428B,,,
10,SU.TO,Suncor Energy Inc.,47.22,4:00PM EDT,5.07,12.03%,24.936M,67.592B,,,
11,TEAM,Atlassian Corporation Plc,259.98,4:00PM EDT,16.32,6.70%,3.146M,65.902B,,,
12,ALLG,Allego N.V.,12.38,4:00PM EDT,3.86,45.31%,3.068M,3.285B,,,
13,IDAI,T Stamp Inc.,4.7,4:00PM EDT,2.6,123.81%,55.273M,110.591M,,,
14,SU,Suncor Energy Inc.,36.89,4:05PM EDT,4.01,12.20%,19.755M,52.855B,,,
15,FSLR,"First Solar, Inc.",72.26,4:00PM EDT,0.12,0.17%,1.552M,7.702B,,,
16,APE3-USD,ApeCoin USD,23.64,11:41PM UTC,4.26,21.96%,4.388B,6.735B,,,
17,PHUN,"Phunware, Inc.",2.08,4:00PM EDT,-0.06,-2.80%,2.81M,202.281M,,,
18,MRK,"Merck & Co., Inc.",88.58,4:02PM EDT,4.17,4.94%,21.086M,223.961B,,,
19,BC,Brunswick Corporation,76.36,4:00PM EDT,1.83,2.46%,1.021M,5.85B,,,
20,KLAC,KLA Corporation,332.76,4:00PM EDT,17.98,5.71%,1.821M,50.152B,,,
21,ZYME,Zymeworks Inc.,4.96,4:00PM EDT,0.1,2.06%,1.513M,286.372M,,,
22,SQQQ,ProShares UltraPro Short QQQ,43.35,4:00PM EDT,-5.11,-10.54%,140.295M,N/A,,,
23,ACHR,Archer Aviation Inc.,4.63,4:00PM EDT,0.93,25.14%,6.423M,1.088B,,,
24,QQQ,Invesco QQQ Trust,328.01,4:00PM EDT,11.25,3.55%,93.282M,128.941B,,,
25,DXCM,"DexCom, Inc.",413.23,4:00PM EDT,0.21,0.05%,1.148M,40.549B,,,
26,LLY,Eli Lilly and Company,297.27,4:03PM EDT,12.18,4.27%,5.877M,283.104B,,,
27,SWN,Southwestern Energy Company,7.37,4:00PM EDT,0,0.00%,33.669M,8.226B,,,
28,SWVL,Swvl Holdings Corp.,10.09,4:00PM EDT,3.37,50.15%,27.975M,1.2B,,,
29,LHX,"L3Harris Technologies, Inc.",239.09,4:00PM EDT,-1.97,-0.82%,1.24M,46.159B,,,
